Incident_Date,Incident_id,id,link
october-19-2023,ispt0385,303,https://airwars.org/civilian-casualties/ispt0385-october-19-2023/
october-19-2023,ispt0371,304,https://airwars.org/civilian-casualties/ispt0371-october-19-2023/
october-19-2023,ispt0386,305,https://airwars.org/civilian-casualties/ispt0386-october-19-2023/
october-19-2023,ispt0389,306,https://airwars.org/civilian-casualties/ispt0389-october-19-2023/
october-19-2023,ispt0392e,307,https://airwars.org/civilian-casualties/ispt0392e-october-19-2023/
october-19-2023,ispt0383,308,https://airwars.org/civilian-casualties/ispt0383-october-19-2023/
october-19-2023,ispt0361,309,https://airwars.org/civilian-casualties/ispt0361-october-19-2023/
october-19-2023,ispt0363,310,https://airwars.org/civilian-casualties/ispt0363-october-19-2023/
october-19-2023,ispt0364,311,https://airwars.org/civilian-casualties/ispt0364-october-19-2023/
october-19-2023,ispt0368,312,https://airwars.org/civilian-casualties/ispt0368-october-19-2023/
october-19-2023,ispt0369,313,https://airwars.org/civilian-casualties/ispt0369-october-19-2023/
october-19-2023,ispt0365,314,https://airwars.org/civilian-casualties/ispt0365-october-19-2023/
october-19-2023,ispt0378,315,https://airwars.org/civilian-casualties/ispt0378-october-19-2023/
october-19-2023,ispt0360,316,https://airwars.org/civilian-casualties/ispt0360-october-19-2023/
october-19-2023,ispt0333,317,https://airwars.org/civilian-casualties/ispt0333-october-19-2023/
october-19-2023,ispt0404,318,https://airwars.org/civilian-casualties/ispt0404-october-19-2023/
october-19-2023,ispt0372,319,https://airwars.org/civilian-casualties/ispt0372-october-19-2023/
october-20-2023,ispt0394,320,https://airwars.org/civilian-casualties/ispt0394-october-20-2023/
october-19-2023,ispt0366,321,https://airwars.org/civilian-casualties/ispt0366-october-19-2023/
october-20-2023,ispt0396,322,https://airwars.org/civilian-casualties/ispt0396-october-20-2023/
october-20-2023,ispt0402,323,https://airwars.org/civilian-casualties/ispt0402-october-20-2023/
october-20-2023,ispt0415b,324,https://airwars.org/civilian-casualties/ispt0415b-october-20-2023/
october-20-2023,ispt0395,325,https://airwars.org/civilian-casualties/ispt0395-october-20-2023/
october-20-2023,ispt0397,326,https://airwars.org/civilian-casualties/ispt0397-october-20-2023/
october-20-2023,ispt0398,327,https://airwars.org/civilian-casualties/ispt0398-october-20-2023/
october-20-2023,ispt0403,328,https://airwars.org/civilian-casualties/ispt0403-october-20-2023/
october-20-2023,ispt0409,329,https://airwars.org/civilian-casualties/ispt0409-october-20-2023/
october-20-2023,ispt0411,330,https://airwars.org/civilian-casualties/ispt0411-october-20-2023/
october-20-2023,ispt0414,331,https://airwars.org/civilian-casualties/ispt0414-october-20-2023/
october-20-2023,ispt0415,332,https://airwars.org/civilian-casualties/ispt0415-october-20-2023/
october-20-2023,ispt0415a,333,https://airwars.org/civilian-casualties/ispt0415a-october-20-2023/
october-20-2023,ispt0392d,334,https://airwars.org/civilian-casualties/ispt0392d-october-20-2023/
october-20-2023,ispt0393,335,https://airwars.org/civilian-casualties/ispt0393-october-20-2023/
october-20-2023,ispt0392,336,https://airwars.org/civilian-casualties/ispt0392-october-20-2023/
october-20-2023,ispt0413,337,https://airwars.org/civilian-casualties/ispt0413-october-20-2023/
